id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
1.32975E+18,null,https://twitter.com/IKershner/status/1329753969787334658,ikershner,null,,null,,null,This is how excited most Israelis apparently feel about Sec of State Pompeo’s latest visit and “gifts” - Yediot Ahronot popular weekend paper provides minimal coverage above the death notices last page before the sports news.  https://t.co/8ZtkCMv4HM,twitter,2020-11-20,null,null
1.31772E+18,null,https://twitter.com/IKershner/status/1317723239381073920,ikershner,null,,null,,null,"As Israel begins to emerge from 2nd national lockdown Yediot's caricature just about sums it up: Netanyahu's sky banner reads ""Great Success!"" while chaos reigns down below.",twitter,2020-10-18,null,null
1.29635E+18,null,https://twitter.com/IKershner/status/1296352135999889408,ikershner,null,,null,,null,"Amos Gilad Israeli security and QME expert writing in today's Yedioth Ahronoth: ""It is imperative that Israel prevent the sale of F-35 planes to any country in the Middle East and reserve its capabilities and similar ones  for itself.""",twitter,2020-08-20,null,null
1.29557E+18,null,https://twitter.com/herbertnyt/status/1295568209010143232,herbertnyt,null,,null,,null,For those who wondered what the UAE got out of this deal per the Israeli news outlet Yediot Ahranot: The Americans will supply the Emirates with F-35s and advanced UAVs.,twitter,2020-08-18,null,null
1.27824E+18,null,https://twitter.com/IKershner/status/1278240798165872645,ikershner,null,,null,,null,@YediotAhronot Writing in Yediot Ahronot as a great friend admirer and supporter of Israel Boris Johnson urges it not to go through with annexation says Britain will not recognize any unilateral changes to the 1967 lines.,twitter,2020-07-01,null,null
1.27135E+18,null,https://twitter.com/halbfinger/status/1271354180473667585,halbfinger,null,,null,,null,"Nahum Barnea's kicker in Yediot today aims below the belt: ""Annexation or not Netanyahu’s legacy will turn out to be his son.""",twitter,2020-06-12,null,null
1.26446E+18,null,https://twitter.com/IKershner/status/1264459667972947970,ikershner,null,,null,,null,"Netanyahu due in court at 3 p.m. today after failing to get out of having to appear in person. Yediot Ahronot caricature has Yair suggesting ""Maybe say the microwave broke and you're waiting for the technician."" (Yediot publisher also charged with bribery.)",twitter,2020-05-24,null,null
1.2533E+18,null,https://twitter.com/halbfinger/status/1253300305120370688,halbfinger,null,,null,,null,Very sad: Batsheva Vita whose daughter allowed a bedside visit with her dying mother to be photographed and shared with the world has succumbed to the coronavirus.   Ynet's obit is here:  https://t.co/9Oy5oOxBBF  We told their story here:  https://t.co/kIyZc1kDxZ,twitter,2020-04-23,null,null
1.23959E+18,null,https://twitter.com/halbfinger/status/1239588343869997058,halbfinger,null,,null,,null,Here's how fast corona is spreading in the Haredi sector: A Magen David Adom EMT unknowingly caught it then prayed March 7 at a synagogue in Kiryat Yearim a small community outside Jerusalem. Today 1/4 residents — 1500 — are in isolation 8 have tested positive Ynet reports.,twitter,2020-03-16,null,null
1.15949E+18,null,https://twitter.com/halbfinger/status/1159493664986603520,halbfinger,null,,null,,null,"Slain yeshiva student was found clutching new novel by David Grossman whose son was killed in '06 Lebanon war. ""I know from experience what a difficult road they face"" the famed author told Ynet. ""The image of him hugging my book just breaks my heart.""  https://t.co/JlSPUonEaO",twitter,2019-08-08,null,null
9.85817E+17,null,https://twitter.com/IKershner/status/985817009597403136,ikershner,null,,null,,null,Yup Ynet picked up on it. Tom Friedman in his NYT column quoting anonymous Israeli military official acknowledging Israeli responsibility for T4 attack in Syria last week; specifically targeting Iranian facility and Iranians on site  https://t.co/NZH7iRUrKS via @ynetalerts,twitter,2018-04-16,null,null
8.66696E+17,null,https://twitter.com/IKershner/status/866695681863450624,ikershner,null,,null,,null,@danasiegal courtesy. i believe i referenced them once because they broke the story about the airport ceremony. my first morning read is actually yediot,twitter,2017-05-22,null,null
8.18895E+17,null,https://twitter.com/sheeraf/status/818894658097057792,sheeraf,null,,null,,null,@ZivGuy @LahavHarkov how is there not a mass revolt or walkout over at Yediot right now?,twitter,2017-01-10,null,null
7.79036E+17,null,https://twitter.com/IKershner/status/779035723747950592,ikershner,null,,null,,null,Apropo Brangelina Yediot Aharonot cartoon today - man to wife 'I told you he wasn't such a great catch'  https://t.co/2ZpkUlNKjq,twitter,2016-09-22,null,null
7.75779E+17,null,https://twitter.com/IKershner/status/775779113646886912,ikershner,null,,null,,null,"Hebrew news site Ynet reporting that former PM and President Shimon Peres 93 who suffered a stroke tonight is ""fighting for his life""",twitter,2016-09-13,null,null
7.47483E+17,null,https://twitter.com/IKershner/status/747482557072179200,ikershner,null,,null,,null,Yediot Aharonot headline on Israel-Turkey accord: Reconciliation or Surrender  https://t.co/YgWeIfpmsW,twitter,2016-06-27,null,null
7.07309E+17,null,https://twitter.com/sheeraf/status/707308565002760192,sheeraf,null,,null,,null,@AviMayer Is there video of the attack other than that posted on ynet?,twitter,2016-03-08,null,null
7.07278E+17,null,https://twitter.com/sheeraf/status/707277602260553728,sheeraf,null,,null,,null,@RobertMackey @dimireider @mairavz The ynet version seems to be the full version and youtube just a clip from the end.,twitter,2016-03-08,null,null
5.57883E+17,null,https://twitter.com/malachybrowne/status/557882853149929472,malachybrowne,null,,null,,null,Ynet has posted video it says shows the #TelAviv bus attacker fleeing and stabbing a pedestrian  https://t.co/M7CwDjRf5x #Israel,twitter,2015-01-21,null,null
5.24968E+17,null,https://twitter.com/sheeraf/status/524967635637653504,sheeraf,null,,null,,null,@IlanBenZion Ynet,twitter,2014-10-22,null,null
5.18111E+17,null,https://twitter.com/tminsberg/status/518111220650745856,tminsberg,null,,null,,null,"Israeli news org @ynetnews left a message for readers: ""Ynetnews will return after Yom Kippur""  http://t.co/qsQhcb58lo  http://t.co/j0SMZMXOSx",twitter,2014-10-03,null,null
4.8415E+17,null,https://twitter.com/liamstack/status/484150022708006913,liamstack,null,,null,,null,Jerusalem protest deteriorates into anti-Arab mob - Israel News Ynetnews  http://t.co/B0ilv6ruVM,twitter,2014-07-02,null,null
3.71885E+17,null,https://twitter.com/sheeraf/status/371884837029699584,sheeraf,null,,null,,null,"@mideastXmidwest RT @DanWilliams: Another Syria cartoon in Yedioth: ""Good night sweetheart"" says Assad.  http://t.co/QFmyZS08Tm",twitter,2013-08-26,null,null
3.71525E+17,null,https://twitter.com/sheeraf/status/371524808796024832,sheeraf,null,,null,,null,"Fyi @mideastXmidwest- text is Assad asking""So you getting in or not?""-cartoon in yediot.  http://t.co/qQKdA1SatP HT @DanWilliams",twitter,2013-08-25,null,null
3.55255E+17,null,https://twitter.com/malachybrowne/status/355255065986084864,malachybrowne,null,,null,,null,Report: Egypt army kills dozens of Hamas men - Ynetnews  http://t.co/0Qe6xV1eJg,twitter,2013-07-11,null,null
3.08234E+17,null,https://twitter.com/benyt/status/308234022029512705,benyt,null,,null,,null,@NoahPollak @JeffreyGoldberg ynet story doesn't seem much different,twitter,2013-03-03,null,null
3.01784E+17,null,https://twitter.com/sheeraf/status/301783829130129408,sheeraf,null,,null,,null,@RobertMackey It was sent directly to reporters. AP and Ynet have just put stories.  http://t.co/RTf3cLfh,twitter,2013-02-13,null,null
2.96099E+17,null,https://twitter.com/Abihabib/status/296098792883761154,abihabib,null,,null,,null,#Syria : #Hezbollah sets up camps near WMD facilities #Israel fires up Iron Dome system - Israel News Ynetnews  http://t.co/vSFnP0ba,twitter,2013-01-29,null,null
2.87957E+17,null,https://twitter.com/adamgoldmanNYT/status/287957329385779200,adamgoldmannyt,null,,null,,null,Diskin: Netanyahu Barak too weak - Israel News Ynetnews  http://t.co/YElPkQ9E,twitter,2013-01-06,null,null
2.70613E+17,null,https://twitter.com/benyt/status/270612818708004865,benyt,null,,null,,null,RT @Lara_APN: Nahum Barnea in YNet: The way out is the hardest -  http://t.co/fXpzvHmc,twitter,2012-11-19,null,null
2.66158E+17,null,https://twitter.com/benyt/status/266157707428499456,benyt,null,,null,,null,And yes Yedioth's Jarrett scoop undermined a bit by its misspelling her name  http://t.co/iyRcWgaq,twitter,2012-11-07,null,null
2.66157E+17,null,https://twitter.com/benyt/status/266156537385455616,benyt,null,,null,,null,Yedioth suggests there's something to the report of a Jarrett backchannel with Iran  http://t.co/iyRcWgaq,twitter,2012-11-07,null,null
2.37216E+17,null,https://twitter.com/adamgoldmanNYT/status/237215629789245440,adamgoldmannyt,null,,null,,null,U.S. punched Bibi Barak in the face - Israel Opinion Ynetnews  http://t.co/b3UPifVu,twitter,2012-08-19,null,null
2.1693E+17,null,https://twitter.com/michaelroston/status/216930192344612866,michaelroston,null,,null,,null,"Ynet in English: ""Islamist Morsi wins Egypt presidency"" Ynet in Hebrew: ""The Egyptians chose Islam""",twitter,2012-06-24,null,null
2.12938E+17,null,https://twitter.com/michaelroston/status/212937566494789632,michaelroston,null,,null,,null,Cool RT @JTAnews: Gilad Shalit named Yediot Achronot sports columnist  http://t.co/bA6l2zwq,twitter,2012-06-13,null,null
1.26336E+17,null,https://twitter.com/jodikantor/status/126336404237193217,jodikantor,null,,null,,null,"Yediot Ahronot: ""All necessary ingredients for Gilad's favorite dishes already purchased."" The newspaper as Jewish mother.",twitter,2011-10-18,null,null
1.13945E+17,null,https://twitter.com/jdavidgoodman/status/113944712066506752,jdavidgoodman,null,,null,,null,"Headline from Israel's Ynet news on #NY9 House race: ""The Jews took revenge against Obama"" bit.ly/oqUXeI via @Elizrael",twitter,2011-09-14,null,null
1.04162E+17,null,https://twitter.com/michaelroston/status/104161603615858688,michaelroston,null,,null,,null,This is poorly translated by YNet says Jordanian intelligence warned Israel of an attack today  http://t.co/ktHKCg0,twitter,2011-08-18,null,null
1.04148E+17,null,https://twitter.com/jdavidgoodman/status/104147765654859777,jdavidgoodman,null,,null,,null,Ynet reports multiple roadside bombs and rocket fire on IDF soldiers in coordinated strike in #Israel  http://t.co/4zP2Coc,twitter,2011-08-18,null,null
5.85582E+16,null,https://twitter.com/jdavidgoodman/status/58558232595140608,jdavidgoodman,null,,null,,null,A group of 1000 American Christians wants to settle in #Israel and join the IDF according to Ynet news  http://bit.ly/g2tqiH,twitter,2011-04-14,null,null
5.63492E+16,null,https://twitter.com/benyt/status/56349186479751168,benyt,null,,null,,null,RT @wikileaks: WikiLeaks Israel week begins: Yedioth Ahronoth Haartz & Al Akbar publishing over 6000 #Israel cables,twitter,2011-04-08,null,null
5.47384E+16,null,https://twitter.com/benyt/status/54738418625822720,benyt,null,,null,,null,@AriFleischer That's what Yediot is reporting based on Goldstone associates. NYT spox says she's getting back.,twitter,2011-04-04,null,null
5.46959E+16,null,https://twitter.com/benyt/status/54695901075222528,benyt,null,,null,,null,MT @Bibireport: Yediot Achronot newspaper: @NYtimes refused to publish Richard #Goldstone's regret articlewhich the WaPo published,twitter,2011-04-04,null,null
